Episode,Step,EpisodeReward
3,36,-3.597179463138635
3,37,-3.697179463138635
3,38,-3.7971794631386353
3,39,-3.8971794631386354
3,40,-3.9971794631386355
3,41,-4.097179463138636
3,42,-4.197179463138635
3,43,-4.297179463138635
3,44,-4.3971794631386345
3,45,-4.497179463138634
3,46,-4.597179463138634
3,47,-4.697179463138633
3,48,-4.797179463138633
3,49,-4.897179463138633
3,50,-4.997179463138632
3,51,-5.097179463138632
3,52,-5.197179463138632
3,53,-5.297179463138631
3,54,-5.397179463138631
3,55,-5.497179463138631
3,56,-5.59717946313863
3,57,-5.69717946313863
3,58,-5.7971794631386295
3,59,-5.897179463138629
3,60,-5.997179463138629
3,61,-6.0971794631386285
3,62,-6.197179463138628
3,63,-6.297179463138628
3,64,-6.397179463138627
3,65,-6.497179463138627
3,66,93.40282053686138
4,0,-0.1
4,1,-0.2
4,2,-0.30000000000000004
4,3,-0.4
4,4,-0.5
4,5,-0.6
4,6,-0.7
4,7,-0.7999999999999999
4,8,-0.8999999999999999
4,9,-0.9999999999999999
4,10,-1.0999999999999999
4,11,-1.2
4,12,-1.3
